Region,Language Name (Native),[EN] Name,Code,Native Speakers (M),Status,Sample Text,Script
Indic,असमীয়া,Assamese,as,15,Coming Soon,সকলো শূন্যৰ পৰা আৰম্ভ হয়,Bengali
Indic,अवधी,Awadhi,awa,38,Available,सब कुछ शून्य से शुरू होता है,Devanagari
Indic,বাংলা (India),Bengali (India),bn-IN,98,Available,সবকিছু শূন্য থেকে শুরু হয়,Bengali
Indic,भोजपुरी,Bhojpuri,bho,52,Available,सब कुछ शून्य से शुरू होला,Devanagari
Indic,बोडो,Bodo,brx,1.4,Available,गाब सोमोन्दों गाहाय गोनांथाय,Devanagari
Indic,छत्तीसगढ़ी,Chhattisgarhi,hne,18,Available,जम्मो चीज हा सुन्ना ले सुरु होथे,Devanagari
Indic,डोगरी,Dogri,doi,2.3,Available,सब कुछ शून्य थमां शुरू होंदा,Devanagari
Indic,गारो,Garo,grt,1.2,Available,Sobokchi shunya ni shuru hoba,Latin
Indic,गोंडी,Gondi,gon,3,Available,लगा वस्तु शून्य ले शुरू होता,Devanagari
Indic,ગુજરાતી,Gujarati,gu,56,Coming Soon,બધું શૂન્યથી શરૂ થાય છે,Gujarati
Indic,हरियाणवी,Haryanvi,bgc,10,Available,सब कुछ जिओ तै शुरू हो सै,Devanagari
Indic,हिन्दी,Hindi,hi,600,Available,सब कुछ शून्य से शुरू होता है,Devanagari
Indic,हो,Ho,hoc,1.1,Available,Sabkuch shunya te shuru hovea,Latin
Indic,ಕನ್ನಡ,Kannada,kn,44,Available,ಎಲ್ಲವೂ ಶೂನ್ಯದಿಂದ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ,Kannada
Indic,कश्मीरी,Kashmiri,ks,7,Available,सब कुछ शून्य पेठ शुरू गछि,Devanagari
Indic,খাসি,Khasi,kha,1.4,Available,Bari lajong shunya jinge shuru nanga,Latin
Indic,खोंड,Khond,kxv,1.8,Available,सबकुछ शून्य ले शुरू होता,Devanagari
Indic,कोंकणी,Konkani,kok,2.3,Available,सगळें शून्यांतल्यान सुरू जाता,Devanagari
Indic,मगही,Magahi,mag,21,Available,सब कुछ शून्य से शुरू होवे,Devanagari
Indic,मैथिली,Maithili,mai,34,Available,सब किछु शून्य सं शुरू होइत अछि,Devanagari
Indic,മലയാളം,Malayalam,ml,35,Coming Soon,എല്ലാം പൂജ്യത്തിൽ നിന്നും ആരംഭിക്കുന്നു,Malayalam
Indic,মণিপুরী,Manipuri,mni,1.8,Coming Soon,পুম্নমক শূন্য দগী হৌরকই,Bengali
Indic,मराठी,Marathi,mr,83,Available,सर्वकाही शून्यापासून सुरू होते,Devanagari
Indic,मारवाड़ी,Marwari,mwr,22,Available,सगळी बातां सुन्न सूं सरू व्है,Devanagari
Indic,मिजो,Mizo,lus,1.1,Available,engkim chu zero atanga tan a ni,Latin
Indic,मुंडारी,Mundari,unr,1.2,Available,सबकुछ शून्य ले शुरू होता,Devanagari
Indic,नेपाली (Nepal),Nepali,ne,16,Available,सबै कुरा शून्यबाट सुरु हुन्छ,Devanagari
Indic,ଓଡ଼ିଆ,Odia,or,38,Coming Soon,ସବୁକିଛି ଶୂନ୍ୟରୁ ଆରମ୍ଭ ହୁଏ,Odia
Indic,ਪੰਜਾਬੀ,Punjabi,pa,113,Coming Soon,ਸਭ ਕੁਝ ਜ਼ੀਰੋ ਤੋਂ ਸ਼ੁਰੂ ਹੁੰਦਾ ਹੈ,Gurmukhi
Indic,राजस्थानी,Rajasthani,raj,26,Available,सब कुछ शून्य सूं शुरू होवे,Devanagari
Indic,संताली,Santali,sat,7.6,Available,सबकुछ शून्य ले शुरू होता,Devanagari
Indic,सिन्धी,Sindhi,sd,25,Available,سڀ ڪجهه صفر کان شروع ٿئي ٿو,Arabic
Indic,தமிழ்,Tamil,ta,75,Available,அனைத்தும் பூஜ்ஜியத்திலிருந்து தொடங்குகிறது,Tamil
Indic,తెలుగు,Telugu,te,82,Coming Soon,అన్నీ సున్నా నుండి మొదలవుతాయి,Telugu
Indic,ತुळು,Tulu,tcy,2,Available,ಎಲ್ಲಾವೂ ಸೊನ್ನೆದ್ದ್ ಶುರುವಾವುಂಡು,Kannada
Indic,اردو,Urdu,ur,70,Available,سب کچھ صفر سے شروع ہوتا ہے,Arabic
Indic,बघेली,Bagheli,bfy,8,Available,सब कुछ शून्य से शुरू होत है,Devanagari
Indic,ਭਾਸ਼ਾ (Malvi),Malvi,mup,5.2,Available,सब कुछ सिफर से शुरू होवे है,Gurmukhi
European,English (Global),English,en,1530,Available,Everything starts from Zero,Latin
European,English UK,English UK,en-GB,60,Available,Everything starts from Zero,Latin
European,English US,English US,en-US,230,Available,Everything starts from Zero,Latin
European,English India,English India,en-IN,125,Available,Everything starts from Zero,Latin
European,English Australia,English Australia,en-AU,17,Available,Everything starts from Zero,Latin
European,English Canada,English Canada,en-CA,20,Available,Everything starts from Zero,Latin
European,English South Africa,English South Africa,en-ZA,4.9,Available,Everything starts from Zero,Latin
European,English New Zealand,English New Zealand,en-NZ,3.8,Available,Everything starts from Zero,Latin
European,English Ireland,English Ireland,en-IE,4.2,Available,Everything starts from Zero,Latin
European,Français (Global),French,fr,312,Available,Tout commence à partir de zéro,Latin
European,Français (France),French (France),fr-FR,67,Available,Tout commence à partir de zéro,Latin
European,Français (Canada),French (Canada),fr-CA,7.2,Available,Tout commence à partir de zéro,Latin
European,Français (Belgium),French (Belgium),fr-BE,4.2,Available,Tout commence à partir de zéro,Latin
European,Français (Switzerland),French (Switzerland),fr-CH,2,Available,Tout commence à partir de zéro,Latin
European,Français (Africa),French (Africa),fr-AF,120,Available,Tout commence à partir de zéro,Latin
European,Deutsch,German,de,95,Available,Alles beginnt bei Null,Latin
European,Italiano,Italian,it,65,Available,Tutto inizia da zero,Latin
European,Español (Global),Spanish,es,558,Available,Todo comienza desde cero,Latin
European,Español (Spain),Spanish (Spain),es-ES,47,Available,Todo comienza desde cero,Latin
European,Português (Global),Portuguese,pt,267,Available,Tudo começa do zero,Latin
European,Português (Brazilian),Portuguese (Brazil),pt-BR,215,Available,Tudo começa do zero,Latin
European,Português (European),Portuguese (Europe),pt-PT,10,Available,Tudo começa do zero,Latin
European,Português (African),Portuguese (Africa),pt-AF,35,Available,Tudo começa do zero,Latin
European,Русский,Russian,ru,150,Available,Всё начинается с нуля,Cyrillic
European,Polski,Polish,pl,40,Available,Wszystko zaczyna się od zera,Latin
European,Nederlands,Dutch,nl,24,Available,Alles begint bij nul,Latin
European,Svenska,Swedish,sv,10,Available,Allt börjar från noll,Latin
European,Norsk (Bokmål),Norwegian (Bokmål),no,4.5,Available,Alt starter fra null,Latin
European,Dansk,Danish,da,6,Available,Alt starter fra nul,Latin
European,Suomi,Finnish,fi,5.4,Available,Kaikki alkaa nollasta,Latin
European,Magyar,Hungarian,hu,13,Available,Minden nulláról kezdődik,Latin
European,Čeština,Czech,cs,10.7,Available,Vše začína od nuly,Latin
European,Slovenčina,Slovak,sk,5.2,Available,Všetko sa začína od nuly,Latin
European,Slovenščina,Slovenian,sl,2.5,Available,Vse se začne z nič,Latin
European,Hrvatski,Croatian,hr,5,Available,Sve počinje od nule,Latin
European,Srpski,Serbian,sr,9,Available,Све почиње од нуле,Cyrillic
